,Text,Intent
565,How does one go about applying for a comp off?,leave_comp
575,Could you guide me on how to apply for a comp off?,leave_comp
574,What is the proper protocol for obtaining a comp off?,leave_comp
573,Can you explain the steps involved in receiving a comp off?,leave_comp
571,I would appreciate it if you could explain the procedure for availing a comp off.,leave_comp
570,Can you outline the steps I need to follow to request a comp off?,leave_comp
569,Could you provide a detailed explanation of the process for getting a comp off?,leave_comp
568,What is the correct way to apply for a comp off?,leave_comp
567,I need assistance in understanding how to obtain a comp off. Can you help me with that?,leave_comp
566,Can you walk me through the steps of receiving a comp off?,leave_comp
564,What are the necessary steps to take in order to request a comp off?,leave_comp
576,Can you provide a step-by-step guide on how to get a comp off?,leave_comp
563,Can you clarify the process of availing a comp off?,leave_comp
561,Could you enlighten me on the procedure for obtaining a comp off?,leave_comp
560,What is the proper way to apply for a comp off?,leave_comp
559,Can you outline the steps required to receive a comp off?,leave_comp
558,Is there a specific way to request a comp off?,leave_comp
557,I would like to know the protocol for availing a comp off. Can you assist me?,leave_comp
556,How can I go about getting a comp off?,leave_comp
555,Can you provide me with the steps to apply for a comp off?,leave_comp
554,I'm curious about the process of obtaining a comp off. Can you explain it to me?,leave_comp
552,What is the procedure for taking a comp off?,leave_comp
553,Could you please guide me on how to request a comp off?,leave_comp
562,I'm interested in learning more about how to receive a comp off. Can you provide some guidance?,leave_comp
577,I'm unsure about the process of availing a comp off. Can you shed some light on it?,leave_comp
572,How can I formally apply for a comp off?,leave_comp
579,How does one formally apply for a comp off?,leave_comp
601,I would like to know the appropriate protocol for obtaining a comp off. Can you provide guidance on that?,leave_comp
600,Can you explain the process of receiving a comp off in detail?,leave_comp
599,How does one officially apply for a comp off?,leave_comp
598,What are the necessary steps I need to follow in order to request a comp off?,leave_comp
597,I'm unsure about the process of obtaining a comp off. Can you clarify it for me?,leave_comp
596,Could you provide a step-by-step guide on how to receive a comp off?,leave_comp
595,What is the formal way to apply for a comp off?,leave_comp
578,What are the necessary actions I need to take in order to request a comp off?,leave_comp
593,Can you walk me through the steps required to obtain a comp off?,leave_comp
592,How can I go about applying for a comp off?,leave_comp
591,Can you guide me on how to request a comp off properly?,leave_comp
590,Could you provide a clear explanation of the process for receiving a comp off?,leave_comp
594,I would appreciate it if you could explain the proper procedure for availing a comp off.,leave_comp
580,Can you walk me through the process of receiving a comp off?,leave_comp
588,I need assistance in knowing how to get a comp off. Can you help me with that?,leave_comp
587,Can you explain the step-by-step process of obtaining a comp off?,leave_comp
586,What is the recommended process for applying for a comp off?,leave_comp
585,I'm interested in understanding how to receive a comp off. Can you give me some guidance?,leave_comp
584,Can you outline the necessary steps to follow when requesting a comp off?,leave_comp
583,Could you please provide a detailed explanation of the steps involved in getting a comp off?,leave_comp
582,What is the appropriate way to apply for a comp off?,leave_comp
581,I would like to know the correct procedure for obtaining a comp off. Can you assist me with that?,leave_comp
589,What are the correct actions to take when applying for a comp off?,leave_comp
85,Can I request an updated leave balance reflecting the earned leaves?,leave_date
84,How do I check my leave balance to see if the earned leaves have been credited?,leave_date
83,When can I expect my earned leaves to be available for use?,leave_date
82,What is the process for the crediting of earned leaves to my account?,leave_date
77,When can I use the earned leaves that have been credited to my leave balance?,leave_date
80,How long does it take for the earned leaves to reflect in my leave balance?,leave_date
79,Is there a deadline for the crediting of earned leaves to my leave balance?,leave_date
78,Can I transfer my earned leaves to the next year if they are not credited in time?,leave_date
86,Is there a lag time between earning leaves and their crediting to my account?,leave_date
81,At what point do the earned leaves become available for use?,leave_date
87,When will my leave balance show the earned leaves that have been credited?,leave_date
63,How soon after earning leaves will they be credited to my account?,leave_date
89,Is there a specific time of the day when the earned leaves are credited to my leave balance?,leave_date
90,How often are the earned leaves credited to my leave balance?,leave_date
91,Can I request an early credit of earned leaves to my account?,leave_date
92,When can I start planning my leave after earning the leaves?,leave_date
93,On what date are the earned leaves usually credited to my account?,leave_date
94,How many earned leaves can I accrue in a year?,leave_date
95,Can I request a confirmation of earned leaves credited to my leave balance?,leave_date
96,Is there a delay in the crediting of earned leaves to my account?,leave_date
97,How do I know when my earned leaves have been credited to my leave balance?,leave_date
98,When can I expect my earned leaves to be added to my leave balance?,leave_date
76,What is the time frame for the crediting of earned leaves to my account?,leave_date
88,How do I know if my earned leaves have been credited to my account?,leave_date
75,When do I start accruing earned leaves for the current year?,leave_date
56,Is there a fixed date when the earned leaves are credited to my account?,leave_date
73,How do I know that the earned leaves have been credited to my account?,leave_date
49,When can I expect my earned leaves to be credited to my account?,leave_date
50,Is there a specific date when the earned leaves are added to my leave balance?,leave_date
51,How often are the earned leaves credited to my account?,leave_date
52,Can you tell me the date when my leave balance gets updated with earned leaves?,leave_date
53,At what frequency are the earned leaves credited to my leave balance?,leave_date
54,When should I expect my earned leaves to be added to my account?,leave_date
74,Is there a limit to the number of earned leaves that can be credited at one time?,leave_date
57,When will I see my earned leaves reflected in my leave balance?,leave_date
58,When can I start using my earned leaves after they are credited?,leave_date
59,How can I check if my earned leaves have been credited to my leave balance?,leave_date
60,Is there a delay between earning leaves and their crediting to my account?,leave_date
55,How long does it take for earned leaves to reflect in my leave balance?,leave_date
62,On which date should I expect my earned leaves to be credited to my account?,leave_date
61,When will I know that my earned leaves have been added to my leave balance?,leave_date
71,When will I receive notification of my earned leaves being credited to my account?,leave_date
70,Is there a specific day of the month when the earned leaves are credited?,leave_date
69,On what basis are the earned leaves credited to my leave balance?,leave_date
68,How can I confirm that my earned leaves have been credited to my account?,leave_date
72,Can I request a confirmation of earned leaves credited to my account?,leave_date
66,When can I start planning my leave after earning the leaves?,leave_date
65,Is there a time limit for the crediting of earned leaves to my account?,leave_date
64,Can I request an early credit of my earned leaves to my leave balance?,leave_date
67,At what time of the day are the earned leaves credited to my account?,leave_date
141,Do earned leaves gradually accumulate in the leave balance over time?,leave_date_count
140,Is there a specific day of the month when earned leaves are credited to the leave balance?,leave_date_count
138,How does the system ensure the timely credit of earned leaves to the leave balance?,leave_date_count
137,Does the leave management system follow a specific timeline for the allocation of earned leaves to the leave balance?,leave_date_count
136,Is there a regular interval for adding earned leaves to the leave balance?,leave_date_count
134,How does the leave tracking system calculate the credit of earned leaves to the leave balance?,leave_date_count
133,When do earned leaves show up in the leave balance?,leave_date_count
132,Is there a specific time frame for earned leaves to be credited to the leave balance?,leave_date_count
131,When do earned leaves become part of the leave balance?,leave_date_count
130,Do earned leaves accumulate over time in the leave balance?,leave_date_count
142,What is the process for earned leaves to be added to the leave balance?,leave_date_count
135,Are earned leaves credited to the leave balance on a predetermined date?,leave_date_count
143,Is there a particular day or time when earned leaves are credited to the leave balance?,leave_date_count
139,Are earned leaves added to the leave balance at the beginning or end of the month?,leave_date_count
145,Are earned leaves credited to the leave balance on a monthly basis?,leave_date_count
146,Is there a fixed schedule for the addition of earned leaves to the leave balance?,leave_date_count
147,When do earned leaves become available in the leave balance?,leave_date_count
148,How does the leave management system determine the credit of earned leaves to the leave balance?,leave_date_count
149,Are earned leaves automatically added to the leave balance each month?,leave_date_count
150,Is there a specific date for the credit of earned leaves to the leave balance?,leave_date_count
151,Do earned leaves gradually accumulate in the leave balance over a period of time?,leave_date_count
152,What is the frequency of earned leaves being credited to the leave balance?,leave_date_count
153,Is there a specific timeframe for earned leaves to be added to the leave balance?,leave_date_count
154,When do earned leaves reflect in the leave balance?,leave_date_count
155,How does the leave tracking system calculate the addition of earned leaves to the leave balance?,leave_date_count
129,Is there a standard practice for crediting earned leaves to the leave balance?,leave_date_count
144,How does the leave tracking system handle the addition of earned leaves to the leave balance?,leave_date_count
128,Does the leave management system have a specific schedule for the addition of earned leaves to the leave balance?,leave_date_count
108,How does the system determine when to credit earned leaves to the leave balance?,leave_date_count
126,How does the leave tracking system determine the credit of earned leaves to the leave balance?,leave_date_count
99,When are earned leaves credited to the leave balance?,leave_date_count
100,What is the timing for crediting earned leaves to the leave balance?,leave_date_count
101,When can I expect my earned leaves to be credited to my leave balance?,leave_date_count
102,At what frequency are earned leaves added to the leave balance?,leave_date_count
103,Can you provide information about the process of crediting earned leaves to the leave balance?,leave_date_count
104,How often are earned leaves credited to the leave balance?,leave_date_count
105,When are earned leaves typically added to the leave balance?,leave_date_count
106,What is the usual time for earned leaves to be credited to the leave balance?,leave_date_count
107,Is there a specific date or time when earned leaves are credited to the leave balance?,leave_date_count
109,Is there a specific schedule for adding earned leaves to the leave balance?,leave_date_count
110,Are earned leaves credited to the leave balance on a monthly basis?,leave_date_count
111,Do earned leaves accumulate in the leave balance on a monthly basis?,leave_date_count
113,How frequently are earned leaves credited to the leave balance?,leave_date_count
112,Is there a monthly allocation of earned leaves to the leave balance?,leave_date_count
115,Is there a specific timeframe for crediting earned leaves to the leave balance?,leave_date_count
116,What is the procedure for adding earned leaves to the leave balance?,leave_date_count
127,Are earned leaves added to the leave balance at the end of each month?,leave_date_count
117,Do earned leaves accrue in the leave balance at regular intervals?,leave_date_count
118,When can I expect my earned leaves to reflect in the leave balance?,leave_date_count
119,Is there a set pattern for the addition of earned leaves to the leave balance?,leave_date_count
120,How does the leave management system handle the crediting of earned leaves to the leave balance?,leave_date_count
121,Are earned leaves automatically credited to the leave balance each month?,leave_date_count
122,Is there a fixed date for the credit of earned leaves to the leave balance?,leave_date_count
123,Do earned leaves accumulate gradually in the leave balance?,leave_date_count
124,What is the frequency of earned leaves being added to the leave balance?,leave_date_count
125,Is there a specific time period for the allocation of earned leaves to the leave balance?,leave_date_count
114,Do earned leaves get added to the leave balance on a regular basis?,leave_date_count
237,"If my grandparent dies, can I avail of bereavement leave?",leave_family
236,"In the event of my grandparent's death, am I entitled to bereavement leave?",leave_family
238,Is bereavement leave applicable for the passing of a grandparent?,leave_family
244,"If my grandparent dies, will I be granted bereavement leave?",leave_family
240,Can I take time off for the funeral of my grandparent?,leave_family
241,"If my grandparent passes away, can I take leave under the bereavement policy?",leave_family
242,Is bereavement leave allowed when a grandparent dies?,leave_family
243,"When my grandparent passes away, can I take bereavement leave?",leave_family
235,Can I take time off work to mourn the loss of my grandparent?,leave_family
245,Can I request bereavement leave due to the loss of my grandparent?,leave_family
239,Am I eligible for bereavement leave if my grandparent dies?,leave_family
234,"If my grandparent passes away, will I be given bereavement leave?",leave_family
222,May I be granted bereavement leave in the event of my grandparent's death?,leave_family
232,"When a grandparent passes away, can I be granted bereavement leave?",leave_family
231,"If my grandparent dies, can I request bereavement leave?",leave_family
230,Am I allowed to take bereavement leave in case of my grandparent's demise?,leave_family
229,Is bereavement leave provided for the loss of a grandparent?,leave_family
228,"If my grandparent passes away, is there a provision for bereavement leave?",leave_family
227,"In the unfortunate event of my grandparent's death, can I take bereavement leave?",leave_family
280,"If my grandparent dies, can I take time off work to attend the funeral proceedings?",leave_family
225,"If my grandparent passes away, will I be eligible for bereavement leave?",leave_family
224,Is bereavement leave offered to employees who have lost a grandparent?,leave_family
223,"When a grandparent passes away, can I take time off through bereavement leave?",leave_family
246,"When a grandparent passes away, am I eligible for bereavement leave?",leave_family
221,Does the company policy allow for bereavement leave when a grandparent dies?,leave_family
220,"If my grandparent has passed away, am I entitled to take bereavement leave?",leave_family
233,Is it possible for me to take bereavement leave for my grandparent's death?,leave_family
247,"If my grandparent dies, can I take time off work through bereavement leave?",leave_family
260,Can I take time off work to attend my grandparent's burial?,leave_family
249,Am I entitled to bereavement leave if my grandparent passes away?,leave_family
277,"If my grandparent dies, will I be eligible for bereavement leave to grieve?",leave_family
219,Is it possible to take bereavement leave due to the loss of a grandparent?,leave_family
276,"When a grandparent passes away, can I take leave for bereavement purposes?",leave_family
275,Is bereavement leave granted for the demise of my grandparent's life?,leave_family
274,"If my grandparent dies, can I avail of bereavement leave to cope with the loss?",leave_family
273,Can I take time off work to pay my respects to my grandparent?,leave_family
272,Am I entitled to bereavement leave if my grandparent passes on?,leave_family
271,Is bereavement leave applicable for the passing of my grandparent's life?,leave_family
270,"If my grandparent dies, can I take time off to honor their memory?",leave_family
269,"When my grandparent passes away, can I take leave through the bereavement policy?",leave_family
268,Is bereavement leave allowed for the loss of a grandparent's life?,leave_family
267,"If my grandparent dies, can I request bereavement leave?",leave_family
266,"In the event of my grandparent's demise, am I eligible for bereavement leave?",leave_family
248,Is bereavement leave provided for the passing of a grandparent?,leave_family
265,Can I take time off work to mourn the loss of my grandparent's life?,leave_family
263,"When my grandparent dies, can I take bereavement leave?",leave_family
262,Is bereavement leave provided when a grandparent passes away?,leave_family
261,"If my grandparent dies, can I be granted bereavement leave?",leave_family
259,Am I eligible for bereavement leave if my grandparent passes?,leave_family
258,Is bereavement leave offered for the death of a grandparent?,leave_family
257,"If my grandparent dies, can I take time off work to grieve?",leave_family
256,"When a grandparent passes away, am I allowed to take bereavement leave?",leave_family
255,Can I request bereavement leave in the event of my grandparent's passing?,leave_family
254,"If my grandparent dies, will I be eligible for bereavement leave?",leave_family
253,"When a grandparent passes away, can I take leave for bereavement?",leave_family
252,Is bereavement leave granted for the demise of a grandparent?,leave_family
251,"If my grandparent dies, can I avail bereavement leave?",leave_family
250,Can I take time off work to attend my grandparent's memorial service?,leave_family
264,"If my grandparent passes away, will I be entitled to bereavement leave?",leave_family
218,Can I request bereavement leave if my grandparent passes away?,leave_family
226,Can I take time off work to attend my grandparent's funeral?,leave_family
282,Am I eligible for bereavement leave if my grandparent passes away peacefully?,leave_family
278,Can I request bereavement leave in the unfortunate event of my grandparent's passing?,leave_family
281,Is bereavement leave offered for the death of my grandparent's life?,leave_family
292,"If my grandparent dies, can I take time off work to honor and remember their life?",leave_family
291,"When a grandparent passes away, can I take leave through the bereavement policy to mourn?",leave_family
290,Is bereavement leave granted for the passing of my grandparent's life peacefully?,leave_family
289,"If my grandparent dies, can I avail of bereavement leave for the grieving process?",leave_family
279,"When a grandparent passes away, am I allowed to take bereavement leave to mourn?",leave_family
287,"If my grandparent passes away, will I be entitled to bereavement leave to mourn?",leave_family
286,"When my grandparent dies, can I take bereavement leave to deal with the loss?",leave_family
285,Is bereavement leave provided when a grandparent passes away suddenly?,leave_family
283,Can I take time off work to remember and honor my grandparent's life?,leave_family
284,"If my grandparent dies, can I be granted bereavement leave to cope with the loss?",leave_family
288,Can I take time off work to attend the funeral service of my grandparent?,leave_family
474,Can I submit a late arrival partial day request form after I've already reviewed my schedule?,leave_late_arrival
473,Is it within the policy to apply for a late arrival partial day request after I've already completed some research?,leave_late_arrival
472,Can I still request for a late arrival partial day after I've already worked on a project?,leave_late_arrival
471,Is it possible to request a late arrival partial day after I've already assisted a client?,leave_late_arrival
470,Can I fill out a late arrival partial day request form after I've already attended a team meeting?,leave_late_arrival
469,"After entering the office, can I still apply for a late arrival partial day due to transportation issues?",leave_late_arrival
468,Is it acceptable to submit a late arrival partial day request once I've already participated in a conference call?,leave_late_arrival
467,Can I request for a late arrival partial day after I've already completed some administrative tasks?,leave_late_arrival
466,Is it permissible to request a late arrival partial day after I've already checked my emails?,leave_late_arrival
463,Is it possible to request a late arrival partial day after I've already received my daily assignments?,leave_late_arrival
464,"After entering the office premises, can I still apply for a late arrival partial day due to personal reasons?",leave_late_arrival
462,Can I submit a late arrival partial day request form after I've already attended a training session?,leave_late_arrival
461,Is it within the policy to apply for a late arrival partial day request after I've already made some progress on my projects?,leave_late_arrival
460,Can I request for a late arrival partial day after I've already interacted with my colleagues?,leave_late_arrival
459,"After entering the office, can I still request for a late arrival partial day due to unforeseen circumstances?",leave_late_arrival
458,Is it acceptable to submit a late arrival partial day request once I've already completed some work?,leave_late_arrival
457,Can I still apply for a late arrival partial day request after I've already started my morning tasks?,leave_late_arrival
456,Is it permissible to request a late arrival partial day after I've already attended a meeting?,leave_late_arrival
455,Can I fill out a late arrival partial day request form after I've already logged into my computer?,leave_late_arrival
454,"After entering the office premises, can I still submit a late arrival partial day request?",leave_late_arrival
465,Can I still fill out a late arrival partial day request after I've already started collaborating with my team?,leave_late_arrival
475,"After entering the office premises, can I still request for a late arrival partial day due to a personal appointment?",leave_late_arrival
478,"After entering the office, can I still fill out a late arrival partial day request form due to a family emergency?",leave_late_arrival
477,Is it permissible to apply for a late arrival partial day request once I've already attended a team lunch?,leave_late_arrival
501,Can I request for a late arrival partial day after I've already collaborated with an external partner?,leave_late_arrival
500,"After entering the office premises, can I still apply for a late arrival partial day due to a personal errand?",leave_late_arrival
499,Is it acceptable to request a late arrival partial day after I've already attended a department meeting?,leave_late_arrival
498,Can I fill out a late arrival partial day request form after I've already completed some marketing tasks?,leave_late_arrival
497,Can I still request for a late arrival partial day after I've already conducted an interview?,leave_late_arrival
496,Is it permissible to submit a late arrival partial day request once I've already attended a company training?,leave_late_arrival
495,Can I request for a late arrival partial day after I've already completed some financial analysis?,leave_late_arrival
494,"After entering the office, can I still apply for a late arrival partial day due to a delayed flight?",leave_late_arrival
493,Is it possible to request a late arrival partial day after I've already finished a client presentation?,leave_late_arrival
492,Can I still fill out a late arrival partial day request after I've already participated in a team discussion?,leave_late_arrival
476,Can I request for a late arrival partial day after I've already completed some documentation?,leave_late_arrival
491,"After entering the office premises, can I still request for a late arrival partial day due to a personal commitment?",leave_late_arrival
489,Is it within the policy to apply for a late arrival partial day request once I've already resolved an issue?,leave_late_arrival
488,Can I request for a late arrival partial day after I've already completed some coding tasks,leave_late_arrival
487,"After entering the office, can I still submit a late arrival partial day request due to a traffic jam?",leave_late_arrival
486,Can I still apply for a late arrival partial day request after I've already conducted a client meeting?,leave_late_arrival
485,Is it permissible to request a late arrival partial day after I've already participated in a brainstorming session?,leave_late_arrival
484,Can I fill out a late arrival partial day request form after I've already attended a team-building activity?,leave_late_arrival
483,"After entering the office premises, can I still request for a late arrival partial day due to a medical appointment?",leave_late_arrival
481,Can I request for a late arrival partial day after I've already collaborated with a cross-functional team?,leave_late_arrival
480,Is it acceptable to request a late arrival partial day after I've already provided feedback on a project?,leave_late_arrival
479,Can I still submit a late arrival partial day request after I've already finished a training module?,leave_late_arrival
490,Can I submit a late arrival partial day request form after I've already attended a company event?,leave_late_arrival
482,Is it possible to apply for a late arrival partial day request once I've already completed a milestone?,leave_late_arrival
453,Is it possible to apply for a late arrival partial day request once I've already settled into my workspace?,leave_late_arrival
452,Can I request for a late arrival partial day after I've already started my work?,leave_late_arrival
365,Can you list the various options for partial leave based on different needs?,leave_partial
364,Are there specific categories of partial leave that are suitable for certain scenarios?,leave_partial
362,What are the different types of partial leave that can be taken in different circumstances?,leave_partial
361,I'm interested in understanding the various categories of partial leave.,leave_partial
360,Can you provide me with a breakdown of the types of partial leave that exist?,leave_partial
359,Are there different options for partial leave depending on the specific situation?,leave_partial
358,Could you explain the various types of partial leave that are available?,leave_partial
357,What are the categories of partial leave that I can avail myself of?,leave_partial
356,I would like to know the different types of partial leave that are offered.,leave_partial
355,Can you list the available options for partial leave depending on the need?,leave_partial
367,What are the available categories of partial leave that I can choose from?,leave_partial
353,Could you please provide information on the different categories of partial leave?,leave_partial
352,What are the types of partial leave that I can consider in different situations?,leave_partial
351,Can you give me an overview of the various options for partial leave?,leave_partial
350,Are there different kinds of partial leave that can be taken?,leave_partial
349,I'm interested in knowing the types of partial leave that are available.,leave_partial
348,Can you outline the different categories of partial leave that are offered?,leave_partial
347,What are the options for taking partial leave in different scenarios?,leave_partial
346,Could you please explain the various types of partial leave that exist?,leave_partial
345,Are there specific options for partial leave depending on the circumstances?,leave_partial
344,I would like to know the categories of partial leave that I can choose from.,leave_partial
366,I would like to know the types of partial leave that are provided.,leave_partial
354,Are there specific types of partial leave that are appropriate for certain circumstances?,leave_partial
368,Could you provide information on the different types of partial leave that exist?,leave_partial
369,Are there different choices for partial leave depending on the circumstances?,leave_partial
391,I'm interested in understanding the various categories of partial leave.,leave_partial
390,Can you provide me with a breakdown of the types of partial leave that exist?,leave_partial
389,Are there different choices for partial leave depending on the specific circumstances?,leave_partial
388,Could you explain the different types of partial leave that are available?,leave_partial
387,What are the categories of partial leave that I can consider for my needs?,leave_partial
386,I would like to know the types of partial leave that are offered in different situations.,leave_partial
385,Can you list the available options for partial leave based on specific requirements?,leave_partial
384,Are there specific categories of partial leave appropriate for different scenarios?,leave_partial
383,Could you please provide an overview of the types of partial leave that are available?,leave_partial
382,What are the different types of partial leave that can be taken in various circumstances?,leave_partial
343,Can you provide me with a list of partial leaves available for different situations?,leave_partial
381,I'm interested in understanding the options for partial leave.,leave_partial
379,Are there different categories of partial leave depending on the situation?,leave_partial
378,Could you provide me with information on the different types of partial leave available?,leave_partial
377,What are the categories of partial leave that I can choose from?,leave_partial
376,I would like to know the various types of partial leave offered.,leave_partial
375,Can you list the options for partial leave based on different requirements?,leave_partial
374,Are there specific types of partial leave suitable for particular circumstances?,leave_partial
373,Could you please explain the different categories of partial leave?,leave_partial
372,What are the types of partial leave that can be considered for specific scenarios?,leave_partial
371,I'm interested in knowing the options for partial leave in different situations.,leave_partial
370,Can you give me an overview of the types of partial leave that are available?,leave_partial
380,Can you outline the types of partial leave that exist for different needs?,leave_partial
342,What are the different types of partial leave that can be taken?,leave_partial
363,Could you please outline the types of partial leave that are available?,leave_partial
392,How many days can I regularize in a month?,leave_reg
420,Can you inform me about the maximum count of regularizations in a month?,leave_reg
419,Is there a set number of times I can regularize within a month?,leave_reg
418,Could you clarify the limit on the number of regularizations per month?,leave_reg
417,What is the maximum frequency of regularizations allowed in a month?,leave_reg
416,How often can I request regularization in a single month?,leave_reg
415,Can you provide information on the monthly cap for regularizations?,leave_reg
414,What is the maximum number of times I can regularize in one month?,leave_reg
413,Is there a restriction on the frequency of regularization within a month?,leave_reg
412,Could you please tell me the monthly limit for regularizations?,leave_reg
411,What is the maximum number of times I can regularize within a month?,leave_reg
410,Is there a specific number of regularizations I can have per month?,leave_reg
409,How many times can I request regularization in a month?,leave_reg
421,What is the maximum number of regularizations I can have in a single month?,leave_reg
408,Can you clarify the maximum allowance for regularization within a month?,leave_reg
406,Is there a cap on the frequency of regularization allowed in a month?,leave_reg
405,Could you please inform me about the monthly restriction on the number of times I can regularize?,leave_reg
404,What is the maximum count of regularizations I can request in a single month?,leave_reg
403,Can you provide details on the maximum number of times I can regularize in a month?,leave_reg
402,Is there a set limit on the number of times I can regularize within a calendar month?,leave_reg
401,What is the maximum frequency of regularization I can have in a month?,leave_reg
400,Is there a specific number of times I can regularize in a monthly period?,leave_reg
399,Could you clarify the limit on the frequency of regularization within a month?,leave_reg
398,What is the maximum number of regularizations permitted in a month?,leave_reg
397,How many times am I allowed to regularize in a month?,leave_reg
396,Is there a restriction on the number of times I can regularize within a month?,leave_reg
395,Can you please provide information on the maximum frequency of regularization in a month?,leave_reg
